magnitude,location,style,percentile,model_name,mu,sigma,alpha,beta,xd,d_xd,displ_without_aleatory,displ_with_aleatory,normalized_d_xd
7.0,0.31,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.388925301094828,0.43579963239048575,1.1261597469078675,1.0410927680254567,1.1724367681471595,1.2661895373134828,1.019266291051387
7.0,0.32,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4176906313909083,0.4348258816902936,1.1261597469078675,1.0512744604489144,1.1839029803098544,1.279945032302914,1.029234524615017
7.0,0.33,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.442263321164608,0.43504365352388463,1.1261597469078675,1.0624911581068275,1.196534773705432,1.2928922722821228,1.040216064561077
7.0,0.34,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4620600051805392,0.4365864808319359,1.1261597469078675,1.0749021132588295,1.2105114918182953,1.3091384855009531,1.0523668244306115
7.0,0.35000000000000003,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4765092298183955,0.4396011238180303,1.1261597469078675,1.0886762405738912,1.226023359549302,1.3247049074734247,1.0658521776018952
7.0,0.36,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.485061977794622,0.4442520488623462,1.1261597469078675,1.1039938751851752,1.2432734630663727,1.3418060702114911,1.080848678487724
7.0,0.37,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.487203034976792,0.45072670444409174,1.1261597469078675,1.1210488272384327,1.262480063554195,1.363584578631101,1.0975460740102696
7.0,0.38,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4824629689796196,0.4592418047049329,1.1261597469078675,1.1400507739873664,1.283879291095731,1.388175895951686,1.1161496455462387
7.0,0.39,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.4704304334197666,0.47005089636626357,1.1261597469078675,1.1612280396394583,1.3077282752226915,1.4146567137941706,1.1368829304933203
7.0,0.4,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.450764459076272,0.48345356886649254,1.1261597469078675,1.1848308241915828,1.334308781100233,1.439676876287312,1.1599908834133628
7.0,0.41000000000000003,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.423206347021218,0.4998067776244798,1.1261597469078675,1.2111349558238618,1.3639314353218714,1.472846775153909,1.1857435497574103
7.0,0.42,reverse,-1.0,d_ad,0.051600000000000534,0.17,2.3875907425469602,0.5195388956120719,1.1261597469078675,1.2404462575564543,1.396940643462588,1.507850564555922,1.214440340975671
