magnitude,location,style,percentile,model_name,mu,sigma,alpha,beta,xd,d_xd,displ_without_aleatory,displ_with_aleatory,normalized_d_xd
7.0,0.56,normal,-1,d_ad,0.03000000000000025,0.36,1.6876212617539796,0.818370590788142,1.071519305237607,1.381099609008234,1.4798748935084336,2.0880835621486065,1.2276269064395504
7.0,0.5700000000000001,normal,-1,d_ad,0.03000000000000025,0.36,1.6603692211237997,0.8222753206847997,1.071519305237607,1.3652806337547434,1.4629245561352426,2.061155191613972,1.2135657920008665
7.0,0.58,normal,-1,d_ad,0.03000000000000025,0.36,1.6335572518149166,0.8261986814019407,1.071519305237607,1.3496428474440623,1.4461683662121674,2.0444479834366724,1.1996657321449884
7.0,0.59,normal,-1,d_ad,0.03000000000000025,0.36,1.6071782474689313,0.8301407618336708,1.071519305237607,1.3341841747563625,1.4296040999939477,2.0142306450266108,1.1859248821690116
7.0,0.6,normal,-1,d_ad,0.03000000000000025,0.36,1.5812252164823202,0.8341016512982402,1.071519305237607,1.3189025641423207,1.413229559205878,1.9990189144059958,1.1723414184990728
7.0,0.61,normal,-1,d_ad,0.03000000000000025,0.36,1.5556912801533502,0.8380814395400673,1.071519305237607,1.3037959875508498,1.3970425707520664,1.9698695639391748,1.158913538448338
7.0,0.62,normal,-1,d_ad,0.03000000000000025,0.36,1.5305696708589207,0.8420802167317727,1.071519305237607,1.288862440159958,1.3810409864270452,1.9503698431450944,1.145639459977768
7.0,0.63,normal,-1,d_ad,0.03000000000000025,0.36,1.5058537302608404,0.8460980734762213,1.071519305237607,1.2740999401106785,1.365222682630671,1.9255763274912265,1.1325174214596159
7.0,0.64,normal,-1,d_ad,0.03000000000000025,0.36,1.4815369075410758,0.8501351008085761,1.071519305237607,1.2595065282440585,1.349585560086304,1.9039192135469867,1.1195456814436426
7.0,0.65,normal,-1,d_ad,0.03000000000000025,0.36,1.457612757665494,0.8541913901983603,1.071519305237607,1.245080267841154,1.334127543562207,1.878380212483932,1.1067225184260046
7.0,0.66,normal,-1,d_ad,0.03000000000000025,0.36,1.4340749396756423,0.8582670335515299,1.071519305237607,1.2308192443660027,1.3188465815961357,1.866127157349934,1.094046230620787
7.0,0.67,normal,-1,d_ad,0.03000000000000025,0.36,1.410917215008115,0.8623621232125561,1.071519305237607,1.2167215652115446,1.303740646223088,1.838727328996736,1.0815151357341606
7.0,0.68,normal,-1,d_ad,0.03000000000000025,0.36,1.388133445841057,0.8664767519665175,1.071519305237607,1.2027853594484488,1.2888077327061673,1.8227858167871456,1.0691275707411185
7.0,0.6900000000000001,normal,-1,d_ad,0.03000000000000025,0.36,1.3657175934673702,0.8706110130412027,1.071519305237607,1.1890087775768206,1.2740458592705313,1.7945637702335975,1.0568818916647753
