"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"432",0.8996,2.07653,1.23924,0.817592,0.970876,6.48806,0.425648,-0.275846,7.96041,0.549255,1.26957,0.16736
"433",0.923758,2.21002,1.17742,0.799911,0.96326,6.37724,0.426164,-0.392825,7.40856,0.551448,1.2472,0.16181
"434",0.907805,2.39745,1.11687,0.805374,0.982474,5.93086,0.64911,-0.53345,7.34649,0.564391,1.08685,0.154933
"435",0.690436,2.59925,1.33414,0.774238,0.965213,6.09883,0.559895,-0.587921,6.9435,0.55052,1.09468,0.171984
"436",0.52221,2.83966,1.65813,0.774046,0.979307,6.26181,0.433089,-0.337235,7.48313,0.568169,0.99632,0.161044
"437",0.553815,2.97393,1.98484,0.791048,0.983848,6.04078,0.602238,-1.47152,5.76964,0.559102,1.13707,0.168071
"438",0.476092,2.66899,2.11015,0.788034,0.981691,6.27273,0.501919,-0.429371,6.94909,0.542273,1.35703,0.15452
"439",0.701314,2.78862,1.57854,0.779379,0.984138,6.07724,0.662725,-0.73012,6.09286,0.552745,1.11442,0.164763
"440",0.711013,2.58727,1.27508,0.816203,0.988974,6.32598,0.460351,-0.165999,7.72578,0.538855,1.26724,0.158288
"441",0.816786,2.968,1.58682,0.75518,0.94256,6.07497,0.614147,-1.07696,6.01953,0.562813,1.12009,0.160429
"442",0.821509,3.06593,1.6035,0.809759,0.977955,6.11642,0.404559,-0.388853,7.39396,0.546221,1.3642,0.148525
"443",1.03708,3.28301,1.00284,0.751873,0.950466,5.78381,0.615671,-1.30484,6.0577,0.551689,1.15015,0.167161
"444",1.06422,3.96961,1.18057,0.788471,0.988515,6.1661,0.427826,-0.56519,7.47595,0.594357,0.780291,0.153834
"445",1.05402,4.12718,0.898664,0.768519,0.946778,5.97886,0.540412,-2.55678,6.18917,0.559725,0.98859,0.159789
"446",0.89366,3.89731,1.34453,0.764178,0.933643,6.11433,0.495109,-1.77779,6.24563,0.559317,1.03547,0.154048
"447",0.628751,3.15896,1.41128,0.794242,0.974289,6.21551,0.520188,-0.6589,6.60255,0.564259,1.04036,0.166269
"448",0.622345,2.98674,1.84785,0.760281,0.94184,6.22725,0.475883,-0.625118,6.40965,0.549369,1.0206,0.157343
"449",0.618514,2.39881,1.56723,0.830377,0.988839,6.11648,0.612905,-0.971365,6.47536,0.541457,1.26705,0.157736
"450",0.924711,3.36921,0.88105,0.827265,0.982363,6.45282,0.398428,-0.445071,7.07987,0.557895,1.1019,0.164037
"451",0.795172,2.97127,1.49732,0.748198,0.903245,5.71564,0.425921,-0.246937,7.43624,0.565292,1.16434,0.154821
"452",0.747119,3.07675,1.54473,0.762385,0.929824,5.96573,0.547195,-0.973696,6.21226,0.554291,1.10197,0.16243
"453",0.724745,3.01262,1.59111,0.762161,0.944756,6.02906,0.51064,-1.40066,6.11595,0.55108,1.11613,0.164333
"454",0.701037,3.15458,1.5594,0.764617,0.95919,6.0963,0.425974,-0.835841,6.82023,0.548378,1.19487,0.15135
"455",0.584798,2.7713,1.86309,0.756073,0.927385,5.85044,0.440413,-0.334054,7.52355,0.556442,1.10307,0.151223
"456",0.591365,2.58855,1.38804,0.739954,0.941689,5.81237,0.523177,-0.205632,7.5715,0.574549,0.847576,0.174861
"457",0.643853,2.75261,1.42484,0.79177,0.980423,6.04569,0.503909,-0.250375,7.35321,0.571616,1.02841,0.154402
"458",0.735304,2.92654,1.51894,0.749247,0.956701,6.12508,0.532307,-1.35435,6.09004,0.571316,1.04032,0.180136
"459",0.504474,2.94496,1.55224,0.793909,0.949192,6.14076,0.4473,-1.45413,6.44034,0.537875,1.16568,0.155444
"460",0.501087,2.79498,1.84404,0.778266,0.944148,6.09636,0.523283,-0.905618,6.5504,0.573478,1.13145,0.161934
"461",0.721872,2.37834,1.31387,0.770143,0.965639,6.06947,0.317046,-0.464205,7.9176,0.561794,1.24436,0.151488
"462",0.67309,2.51565,1.64013,0.780364,0.969912,6.04096,0.368051,-0.523232,7.44309,0.558756,1.10993,0.161512
"463",0.811182,2.60725,1.49734,0.753704,0.955757,5.96821,0.564732,-0.600199,7.15045,0.559528,1.02006,0.152774
"464",0.921731,2.72888,1.12161,0.80596,0.975744,6.26752,0.578546,-0.718545,6.57804,0.56165,1.14948,0.171059
"465",0.915663,3.31525,0.938485,0.779175,0.942717,6.06167,0.401412,-1.21625,7.06539,0.550538,1.21486,0.150934
"466",0.967447,3.41169,0.847764,0.781939,0.964469,6.17191,0.399585,-0.684208,7.11543,0.546944,1.16662,0.161442
"467",0.869282,3.16417,1.23646,0.692974,0.88696,5.69653,0.434629,-0.275675,7.14735,0.589527,0.728898,0.165298
"468",0.798475,3.07787,1.21292,0.758015,0.95636,5.78965,0.596372,-0.789692,5.86769,0.573958,0.968766,0.163958
"469",0.684809,2.78625,1.56536,0.780701,0.953229,6.12082,0.402321,-0.359686,7.58911,0.539615,1.12046,0.15435
"470",0.713184,2.80018,1.58383,0.803028,0.953378,6.24922,0.376789,-0.306091,7.53199,0.542656,1.29785,0.153979
"471",0.90142,2.9385,1.40244,0.792825,0.997748,6.36458,0.461593,-0.387873,7.21849,0.569522,1.18883,0.157755
"472",1.16927,3.08289,0.35984,0.807346,0.966758,6.48005,0.534217,-0.553386,7.10206,0.535934,1.12452,0.154411
"473",0.759859,2.34192,1.16663,0.708262,0.921551,5.96897,0.619051,-0.251733,7.03068,0.581414,0.69652,0.161024
"474",0.661881,2.39778,1.66784,0.758281,0.964855,5.69992,0.538612,-0.357932,6.6215,0.583525,0.785678,0.177348
"475",0.907502,3.16347,1.342,0.827996,0.977175,6.20488,0.391045,-0.592397,7.08273,0.531336,1.3445,0.154481
"476",0.92896,3.30113,1.29861,0.758203,0.970161,5.64572,0.486039,-1.2015,6.16999,0.588477,0.81835,0.179987
"477",0.838308,3.21313,1.5195,0.807113,0.982951,6.42287,0.607318,-0.86427,6.56587,0.554322,1.02386,0.147117
"478",0.80619,3.0411,1.15917,0.782943,0.939149,6.0156,0.445704,-1.49916,6.46952,0.540669,1.28396,0.16191
"479",0.670673,2.85064,1.33168,0.80619,0.984375,6.1716,0.494686,-0.70841,6.5582,0.565309,1.07008,0.163624
"480",0.508335,2.44501,1.8103,0.75008,0.948954,5.93335,0.553456,-0.910834,6.46395,0.55945,1.06574,0.155678
"481",0.412295,2.17931,2.10772,0.784731,0.930228,5.94384,0.550791,-0.108462,7.05461,0.549132,1.31729,0.155169
"482",0.440795,2.67168,2.06222,0.714813,0.913148,5.85556,0.504113,-0.656236,6.7902,0.546955,1.27848,0.145705
"483",0.377307,2.67858,2.15758,0.749247,0.940635,5.69776,0.510999,-0.233642,7.31227,0.569322,0.865944,0.178422
"484",0.666365,3.14095,1.41637,0.802199,0.991477,6.41752,0.550476,-2.30632,5.94557,0.548192,1.36913,0.152256
"485",0.450344,2.90685,1.43075,0.773355,0.967648,6.08589,0.520631,-0.187296,7.44113,0.585911,1.04433,0.167098
"486",0.615862,3.10419,1.17582,0.746118,0.911276,5.90322,0.499722,-1.85711,5.83083,0.556783,1.04163,0.160531
"487",0.517387,2.55131,1.59679,0.806507,0.966097,6.15129,0.705697,-1.0398,6.31429,0.548779,1.15762,0.156307
"488",0.469753,2.35152,1.68609,0.818459,0.978121,6.33405,0.533384,-0.511941,6.57426,0.545949,1.37538,0.169553
"489",0.642196,2.45323,1.22212,0.754287,0.980576,6.04033,0.649504,-0.535274,7.16575,0.562401,0.916746,0.156419
"490",0.640824,2.36009,1.4118,0.794428,0.95595,6.20787,0.362045,-0.415433,7.85615,0.569116,1.15952,0.168297
"491",0.625746,2.36832,1.3437,0.785001,0.94549,6.09214,0.378864,-0.432469,7.26282,0.577188,0.977036,0.160326
"492",0.729581,3.00628,1.15131,0.776712,0.930617,5.98993,0.468479,-0.463235,6.75296,0.557613,0.97589,0.159231
"493",0.737827,2.97786,1.1222,0.769269,0.974937,6.17884,0.556977,-0.360112,6.55449,0.556538,1.09177,0.165055
"494",0.637463,2.45909,1.66299,0.788732,0.958974,5.96992,0.419048,-0.814435,6.70682,0.587285,0.781239,0.172449
"495",0.625881,2.35548,1.81132,0.783553,0.987758,6.2835,0.60938,-0.0442432,7.76591,0.570825,1.05995,0.172941
"496",0.723566,2.80368,1.30483,0.811767,0.992521,6.06619,0.439582,-0.299117,7.06542,0.575174,0.858637,0.164615
"497",0.650067,2.94678,1.92834,0.727592,0.944263,5.94717,0.581206,-0.667129,6.47962,0.554178,1.02308,0.168537
"498",0.68559,3.22145,1.67767,0.796589,0.960393,6.24028,0.529883,-0.492951,6.71231,0.577238,0.880713,0.162213
"499",0.797439,2.96973,0.84967,0.747963,0.936682,6.08665,0.459606,-2.48712,6.21847,0.542603,1.2458,0.164793
"500",0.658731,2.93159,0.969655,0.760795,0.930698,5.79392,0.866826,-0.391355,6.14615,0.569366,0.964819,0.156005
