"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"65",0.787361,2.33515,1.47532,0.803841,0.979768,6.18847,0.327199,-0.549921,7.39724,0.568947,0.975388,0.150636
"66",0.807058,2.43356,1.32739,0.764836,0.92481,5.94203,0.471511,-0.317202,7.00099,0.542006,1.1458,0.169973
"67",1.10071,3.10155,0.654668,0.801976,0.981084,6.1628,0.373249,-1.29678,6.88339,0.561959,1.06687,0.150006
"68",0.924118,2.52583,0.946288,0.782352,0.951949,6.15969,0.470638,-0.205421,8.25692,0.539887,1.31009,0.148577
"69",0.867152,2.66358,0.974974,0.787622,0.987289,6.19308,0.744884,-0.217426,7.16218,0.56321,0.940215,0.174343
"70",0.787663,2.78711,0.932205,0.790108,0.988066,6.13424,0.457457,-0.734376,6.85937,0.585071,0.824581,0.16535
"71",0.910565,3.38042,0.975447,0.769925,0.945944,6.00769,0.674325,-0.848924,6.4094,0.568014,0.964268,0.160948
"72",0.970142,3.61623,1.10195,0.795244,0.96954,6.35088,0.581384,-1.655,6.06654,0.551287,1.05769,0.169865
"73",1.00484,3.47868,0.86721,0.758546,0.945257,5.77604,0.489521,-0.51162,6.81246,0.551295,1.01867,0.145195
"74",0.46968,1.671,1.72248,0.81161,0.987122,6.20072,0.570791,-0.333057,7.09773,0.538302,1.2541,0.157078
"75",0.74375,2.18449,1.33275,0.783411,0.956703,5.97989,0.337899,-0.522198,7.3058,0.553995,1.12746,0.152625
"76",0.811984,2.45327,1.19396,0.801195,0.973669,6.44638,0.343488,-0.443678,7.72813,0.526666,1.37499,0.163768
"77",0.827015,2.92996,1.31342,0.767494,0.932644,6.11456,0.591384,-1.0243,6.23939,0.578357,0.89308,0.153291
"78",0.481516,2.31352,1.95272,0.746275,0.95063,6.06421,0.296791,-0.321577,7.90639,0.55579,0.961259,0.172157
"79",0.579868,2.56076,1.48632,0.783621,0.966151,6.04628,0.393959,-0.653189,7.21408,0.539978,1.22625,0.148774
"80",0.743228,2.46064,1.63736,0.79795,0.968464,6.0732,0.565574,-0.473148,6.75831,0.570616,0.967464,0.173312
"81",0.784104,2.61297,1.18985,0.804412,0.974936,6.28163,0.394749,-0.641631,7.27125,0.544468,1.25245,0.151449
"82",0.522943,2.26717,1.62855,0.786254,0.952517,5.97577,0.567037,-0.285361,6.77216,0.557978,0.914945,0.170128
"83",0.489347,2.56374,1.78147,0.767456,0.946384,6.19573,0.480744,-0.553271,6.68777,0.565885,1.03093,0.154792
"84",0.888564,4.29752,0.690267,0.803548,0.976203,6.05022,0.534033,-0.999204,7.14984,0.546626,1.15262,0.133685
"85",0.984874,4.54772,0.390507,0.821358,0.991203,6.31632,0.512608,-2.63819,6.45932,0.552248,1.18748,0.148235
"86",0.82858,3.60461,1.21532,0.744982,0.934971,6.01967,0.564318,-0.74869,6.55246,0.560544,1.12924,0.16751
"87",0.829829,3.74793,1.37345,0.824632,0.989019,6.51122,0.486211,-1.5786,6.18309,0.533608,1.27413,0.156708
"88",0.879108,3.86948,1.60165,0.819847,0.984981,6.1273,0.608474,-1.10337,6.52302,0.542571,1.27764,0.15931
"89",0.960961,4.01543,1.56383,0.828361,0.979424,6.4933,0.536569,-1.61912,6.34278,0.552219,1.18942,0.158439
"90",0.873322,4.22038,1.49445,0.783191,0.955351,5.82354,0.661831,-0.85563,6.79031,0.564166,1.04541,0.160064
"91",0.976712,4.18607,1.28411,0.727439,0.888883,5.8715,0.65837,-2.46517,6.11819,0.557072,0.96083,0.163649
"92",0.746977,3.91893,1.94582,0.752167,0.923833,5.79099,0.467075,-0.948959,7.26836,0.581931,0.803345,0.163855
"93",0.766623,3.74304,1.72571,0.709793,0.878355,5.76242,0.590768,-2.73526,6.1245,0.544043,1.33107,0.1637
"94",0.715282,3.69681,1.55672,0.762114,0.953528,5.85141,0.484333,-1.36973,6.5676,0.551893,1.12636,0.166137
"95",0.605204,3.27515,1.41222,0.790816,0.974443,6.12663,0.587896,-1.36992,6.33087,0.559155,1.17374,0.158928
"96",0.571283,3.35384,1.43233,0.783715,0.950861,6.02914,0.378697,-1.28935,6.49078,0.549422,1.02861,0.167088
"97",0.605833,3.3989,1.33797,0.794795,0.978872,6.09919,0.420021,-1.09562,6.52533,0.548728,1.04769,0.160558
"98",0.730524,3.1724,1.38603,0.779882,0.981725,6.15271,0.438828,-0.617977,7.67344,0.548999,1.24905,0.155954
"99",0.719076,3.22386,1.40725,0.818873,0.9694,6.357,0.411942,-0.746928,6.52305,0.563493,1.10818,0.164631
"100",0.602088,3.12513,1.52498,0.773004,0.958491,6.30771,0.438717,-1.3953,6.20516,0.536758,1.39027,0.170692
"101",0.529625,2.66968,1.04008,0.757867,0.952213,5.82785,0.412366,-0.470892,7.2826,0.571835,0.946221,0.169436
"102",0.685831,2.4407,1.38548,0.775989,0.959302,6.34149,0.761334,-0.540807,6.56353,0.545762,1.17624,0.151036
"103",0.709929,3.074,1.57468,0.792878,0.978946,6.16823,0.399582,-0.322566,7.80265,0.579734,0.946423,0.169173
"104",0.714769,3.15362,1.65196,0.795493,0.979376,6.139,0.501602,-1.13676,6.43701,0.568486,0.835844,0.164193
"105",0.787837,3.58497,1.54681,0.803309,0.961114,6.16827,0.552379,-1.21804,6.22422,0.547512,1.10778,0.167371
"106",0.77088,3.40155,1.48797,0.821945,0.995263,6.48391,0.53235,-1.47434,6.45359,0.564954,1.10987,0.15464
"107",0.937184,3.76849,1.41814,0.827377,0.983108,6.18259,0.326938,-0.433072,7.15001,0.541518,1.23375,0.169095
"108",0.897343,3.68421,1.15635,0.785323,0.939022,6.24788,0.439044,-0.85201,6.91851,0.538432,1.33385,0.159211
"109",0.964438,3.74569,0.886416,0.787217,0.978326,6.23674,0.52552,-1.52175,6.47489,0.569647,0.976815,0.154158
"110",0.925269,3.59662,0.95863,0.778696,0.967515,6.12261,0.446981,-1.57476,6.17042,0.558687,1.04729,0.156499
"111",0.924419,3.55633,1.22552,0.787323,0.947255,6.15963,0.46028,-1.37442,6.53537,0.549533,1.23769,0.165979
"112",0.753481,3.07112,1.55691,0.782028,0.970486,6.28599,0.410878,-0.500342,6.94577,0.573726,0.810497,0.157742
"113",0.718844,3.04352,1.68504,0.765918,0.968403,6.16675,0.441092,-0.645015,7.1068,0.585708,0.781891,0.162374
"114",0.730311,3.2739,1.5522,0.760573,0.947211,6.16339,0.532716,-1.90963,6.174,0.557646,1.06868,0.166457
"115",0.708195,3.07453,1.57076,0.790538,0.976493,6.0719,0.575611,-0.973097,6.38796,0.576854,0.873273,0.167188
"116",0.772174,3.02635,1.36143,0.760272,0.924062,5.9767,0.55509,-0.91608,6.60837,0.535627,1.42105,0.151844
"117",0.79288,2.92055,1.52373,0.791328,0.957614,6.21926,0.572644,-1.02619,6.17515,0.536251,1.17251,0.139763
"118",0.706963,3.00712,1.4193,0.814712,0.976992,6.48813,0.426717,-0.411162,7.43512,0.549071,1.38176,0.167266
"119",0.755312,2.85968,1.33026,0.664047,0.857758,5.48652,0.514733,-0.967951,6.19055,0.570422,0.873226,0.15152
"120",0.904583,3.33852,1.12573,0.798204,0.95999,6.26366,0.484666,-0.678052,6.98937,0.571966,1.07906,0.161943
"121",0.433628,2.38396,2.04796,0.72521,0.921988,5.79416,0.503362,-0.474533,6.89916,0.568298,0.806585,0.169896
"122",0.678472,2.97097,1.3507,0.801576,0.978791,6.27428,0.604402,-1.17967,6.13038,0.544714,1.11557,0.151865
"123",0.754589,2.79998,1.0445,0.821549,0.984886,6.37613,0.671394,-0.756007,6.47531,0.553592,1.1745,0.153517
"124",0.516362,2.92859,1.55464,0.801052,0.976328,6.21402,0.444395,-0.656695,7.09171,0.556405,1.26561,0.159861
"125",0.328159,2.67681,2.1997,0.798108,0.97026,6.1833,0.427022,-0.757948,7.15146,0.557676,0.969391,0.160675
"126",0.487725,2.81414,2.00966,0.773497,0.96914,6.03722,0.54262,-0.577972,6.74728,0.543244,1.34747,0.150923
"127",0.445493,2.84469,1.86883,0.762828,0.972887,6.09187,0.56513,-0.708768,6.4604,0.567955,0.894633,0.160418
"128",0.737959,2.88091,1.47736,0.764866,0.927441,6.03745,0.627427,-0.731571,6.54828,0.551751,1.30387,0.168039
"129",0.756341,3.01724,1.34729,0.758571,0.960965,5.88934,0.503485,-1.1934,6.34959,0.548776,1.22499,0.151939
"130",0.68376,2.93623,1.29507,0.831763,0.987583,6.29242,0.584179,-0.576653,6.42316,0.557281,1.23117,0.167743
"131",0.538621,2.88278,1.11929,0.805357,0.983336,6.33522,0.57352,-0.902842,6.22428,0.549763,1.18483,0.153057
"132",0.596782,2.69991,1.63671,0.768132,0.935004,5.96402,0.472158,-0.428062,7.2002,0.569188,1.18117,0.170107
"133",0.717407,2.55871,1.31854,0.767301,0.938461,5.88021,0.573824,-0.624476,6.41366,0.58509,0.845578,0.1657
"134",0.648721,2.45219,1.6635,0.710907,0.881625,5.80777,0.706812,-0.417233,6.75699,0.569183,0.917863,0.170443
"135",0.783156,2.48169,1.44233,0.795638,0.980688,6.33069,0.60695,-0.0594549,7.32723,0.556913,1.20114,0.157804
"136",0.669629,2.05217,1.23263,0.800452,0.978202,6.17077,0.551475,-1.15352,6.77602,0.558357,1.02424,0.165895
"137",0.695759,1.99303,1.19083,0.803033,0.979941,6.29706,0.509921,-1.14998,6.58806,0.552738,1.0809,0.163422
"138",0.712111,1.96669,0.887596,0.732699,0.930078,5.86571,0.700018,-0.19084,7.46041,0.568603,0.98475,0.159744
"139",0.603127,1.88437,1.28731,0.809808,0.976033,6.12802,0.443453,-0.951949,6.8853,0.544833,1.2478,0.158826
"140",0.625325,1.80153,1.35314,0.775092,0.964862,6.06021,0.700945,-0.185975,7.22693,0.549077,1.09574,0.165469
"141",0.645821,2.3984,1.21229,0.764082,0.955731,5.98931,0.699556,-0.0909704,6.36482,0.550048,1.10997,0.15843
"142",0.587842,1.93507,1.40225,0.753802,0.932297,5.65252,0.703515,-0.287725,6.10385,0.564414,1.15502,0.150834
"143",0.745156,2.63478,1.0146,0.784673,0.991654,6.23297,0.521675,-0.0549361,7.2558,0.567925,1.0373,0.167346
"144",0.833533,3.13358,0.828357,0.777343,0.961849,5.98822,0.722196,-0.701316,6.81682,0.569711,0.950596,0.156319
"145",0.761379,2.8819,0.83674,0.75241,0.949214,5.93338,0.466198,-1.35365,6.16818,0.554603,1.03525,0.160951
